assembly,province,constituency_code,total_male_reg,total_female_reg,total_voter_reg
National,Sindh,NA-225,133046,111695,244741
National,Sindh,NA-227,31615,22506,54121
National,Sindh,NA-228,149242,123522,272764
National,Sindh,NA-229,160641,133833,294474
National,Sindh,NA-231,166622,141423,308045
National,Sindh,NA-232,214642,174391,389033
National,Sindh,NA-233,235433,191036,426469
National,Sindh,NA-236,132116,96144,228260
National,Sindh,NA-239,58463,51777,110240
National,Sindh,NA-241,16412,10174,26586
National,Sindh,NA-242,110111,73262,183373
National,Sindh,NA-246,304714,229897,534611
National,Sindh,NA-247,294713,249251,543964
National,Sindh,NA-249,176570,115573,292143
National,Sindh,NA-250,9906,5170,15076
National,Sindh,NA-251,238438,165803,404241
National,Sindh,NA-252,133060,84972,218032
Provincial,Balochistan,PB-1,60523,44292,104815
Provincial,Balochistan,PB-11,53269,41177,94446
Provincial,Balochistan,PB-12,32485,20784,53269
Provincial,Balochistan,PB-13,61556,49959,111515
Provincial,Balochistan,PB-14,58048,50948,108996
Provincial,Balochistan,PB-15,46986,43285,90271
Provincial,Balochistan,PB-16,34792,24314,59106
Provincial,Balochistan,PB-17,60301,39564,99865
Provincial,Balochistan,PB-2,70656,51736,122392
Provincial,Balochistan,PB-27,45383,35975,81358
Provincial,Balochistan,PB-33,49445,36520,85965
Provincial,Balochistan,PB-34,53383,37182,90565
Provincial,Balochistan,PB-37,27321,16813,44134
Provincial,Balochistan,PB-42,947,823,1770
Provincial,Balochistan,PB-45,22661,19131,41792
Provincial,Balochistan,PB-46,32150,23101,55251
Provincial,Balochistan,PB-47,19389,17188,36577
Provincial,Balochistan,PB-48,19264,13142,32406
Provincial,Balochistan,PB-6,59151,47340,106491
Provincial,Balochistan,PB-7,74205,53691,127896
Provincial,Balochistan,PB-8,38515,29955,68470
Provincial,Balochistan,PB-9,38793,20238,59031
Provincial,KPK,PK-1,151219,118360,269579
Provincial,KPK,PK-10,90843,58899,149742
Provincial,KPK,PK-12,89411,58572,147983
Provincial,KPK,PK-13,1653,1062,2715
Provincial,KPK,PK-16,25841,17343,43184
Provincial,KPK,PK-17,2440,699,3139
Provincial,KPK,PK-18,96923,67822,164745
Provincial,KPK,PK-2,91108,64915,156023
Provincial,KPK,PK-20,88989,65281,154270
Provincial,KPK,PK-21,76077,62128,138205
Provincial,KPK,PK-22,72572,57516,130088
Provincial,KPK,PK-23,111916,86698,198614
Provincial,KPK,PK-25,28786,19733,48519
Provincial,KPK,PK-29,87968,60678,148646
Provincial,KPK,PK-3,81391,63924,145315
Provincial,KPK,PK-30,107196,78472,185668
Provincial,KPK,PK-31,80420,70132,150552
Provincial,KPK,PK-33,30946,25000,55946
Provincial,KPK,PK-34,59812,45269,105081
Provincial,KPK,PK-36,128288,106734,235022
Provincial,KPK,PK-4,83398,62835,146233
Provincial,KPK,PK-40,134209,117450,251659
Provincial,KPK,PK-41,115615,97111,212726
Provincial,KPK,PK-42,71259,56040,127299
Provincial,KPK,PK-43,97335,74921,172256
Provincial,KPK,PK-45,101969,81071,183040
Provincial,KPK,PK-47,99114,76094,175208
Provincial,KPK,PK-49,90698,69319,160017
Provincial,KPK,PK-5,8563,6375,14938
Provincial,KPK,PK-50,40342,29656,69998
Provincial,KPK,PK-51,86284,61018,147302
Provincial,KPK,PK-52,82825,62463,145288
Provincial,KPK,PK-53,57112,35628,92740
Provincial,KPK,PK-57,100518,76448,176966
Provincial,KPK,PK-58,82560,54869,137429
Provincial,KPK,PK-6,3184,1531,4715
Provincial,KPK,PK-60,74609,42800,117409
Provincial,KPK,PK-61,33619,23259,56878
Provincial,KPK,PK-62,42229,35603,77832
Provincial,KPK,PK-64,30297,23573,53870
Provincial,KPK,PK-66,71845,52078,123923
Provincial,KPK,PK-67,69856,45866,115722
Provincial,KPK,PK-68,72408,51318,123726
Provincial,KPK,PK-69,77066,58379,135445
Provincial,KPK,PK-7,87722,65282,153004
Provincial,KPK,PK-70,59348,37748,97096
Provincial,KPK,PK-71,79276,53150,132426
Provincial,KPK,PK-72,60143,42374,102517
Provincial,KPK,PK-73,42576,33986,76562
Provincial,KPK,PK-75,75074,59071,134145
Provincial,KPK,PK-76,35051,32529,67580
Provincial,KPK,PK-77,78055,60776,138831
Provincial,KPK,PK-79,68540,44846,113386
Provincial,KPK,PK-84,11507,8164,19671
Provincial,KPK,PK-85,108103,87815,195918
Provincial,KPK,PK-87,77457,58538,135995
Provincial,KPK,PK-89,74502,55343,129845
Provincial,KPK,PK-91,82297,66706,149003
Provincial,KPK,PK-92,81978,65807,147785
Provincial,KPK,PK-95,90464,72732,163196
Provincial,KPK,PK-96,65581,50690,116271
Provincial,KPK,PK-97,81655,66082,147737
Provincial,Punjab,PP-1,95856,81663,177519
Provincial,Punjab,PP-108,104800,82908,187708
Provincial,Punjab,PP-11,85879,77976,163855
Provincial,Punjab,PP-110,95383,88320,183703
Provincial,Punjab,PP-111,1114,0,1114
Provincial,Punjab,PP-113,102704,88330,191034
Provincial,Punjab,PP-114,103885,89597,193482
Provincial,Punjab,PP-115,97725,88350,186075
Provincial,Punjab,PP-116,82884,70284,153168
Provincial,Punjab,PP-117,101642,83026,184668
Provincial,Punjab,PP-118,124418,96757,221175
Provincial,Punjab,PP-119,120293,97893,218186
Provincial,Punjab,PP-120,134684,107758,242442
Provincial,Punjab,PP-121,124043,103378,227421
Provincial,Punjab,PP-122,110558,88981,199539
Provincial,Punjab,PP-123,121954,95545,217499
Provincial,Punjab,PP-124,116936,88050,204986
Provincial,Punjab,PP-125,111295,82889,194184
Provincial,Punjab,PP-126,130554,112250,242804
Provincial,Punjab,PP-127,109268,86571,195839
Provincial,Punjab,PP-129,107836,79368,187204
Provincial,Punjab,PP-130,108053,80055,188108
Provincial,Punjab,PP-131,117337,90748,208085
Provincial,Punjab,PP-132,114311,90354,204665
Provincial,Punjab,PP-133,103712,77850,181562
Provincial,Punjab,PP-135,4367,0,4367
Provincial,Punjab,PP-137,606,441,1047
Provincial,Punjab,PP-139,111968,82907,194875
Provincial,Punjab,PP-141,114633,81686,196319
Provincial,Punjab,PP-142,106459,71535,177994
Provincial,Punjab,PP-143,142783,103737,246520
Provincial,Punjab,PP-146,153585,119711,273296
