"assembly","province","constituency_code","total_male_reg","total_female_reg","total_voter_reg"
"National Assembly","Punjab","NA-138",20020,20752,40772
"National Assembly","Punjab","NA-139",234025,170058,404083
"National Assembly","Punjab","NA-140",77525,60943,138468
"National Assembly","Punjab","NA-141",247432,196185,443617
"National Assembly","Punjab","NA-142",3866,2088,5954
"National Assembly","Punjab","NA-143",241397,188446,429843
"National Assembly","Punjab","NA-144",247018,184930,431948
"National Assembly","Punjab","NA-145",280050,221200,501250
"National Assembly","Punjab","NA-146",281190,234260,515450
"National Assembly","Punjab","NA-147",107671,84674,192345
"National Assembly","Punjab","NA-148",104366,82445,186811
"National Assembly","Punjab","NA-149",231135,182017,413152
"National Assembly","Punjab","NA-150",209447,162241,371688
"National Assembly","Punjab","NA-151",62365,48228,110593
"National Assembly","Punjab","NA-152",225123,175208,400331
"National Assembly","Punjab","NA-153",205385,160835,366220
"National Assembly","Punjab","NA-154",171354,141226,312580
"National Assembly","Punjab","NA-155",3054,3344,6398
"National Assembly","Punjab","NA-156",241416,202012,443428
"National Assembly","Punjab","NA-157",26580,23519,50099
"National Assembly","Punjab","NA-158",69312,52657,121969
"National Assembly","Punjab","NA-159",224373,188884,413257
"National Assembly","Punjab","NA-160",183387,143323,326710
"National Assembly","Punjab","NA-163",215945,161557,377502
"National Assembly","Punjab","NA-164",229763,178434,408197
"National Assembly","Punjab","NA-165",218880,166070,384950
"National Assembly","Punjab","NA-166",205658,149867,355525
"National Assembly","Punjab","NA-167",217882,161535,379417
"National Assembly","Punjab","NA-168",226137,175275,401412
"National Assembly","Punjab","NA-169",232971,175173,408144
"National Assembly","Punjab","NA-170",195039,164886,359925
"National Assembly","Punjab","NA-171",228407,176416,404823
"National Assembly","Punjab","NA-174",196499,159331,355830
"National Assembly","Punjab","NA-175",244782,184172,428954
"National Assembly","Punjab","NA-176",219884,164799,384683
"National Assembly","Punjab","NA-177",220842,161185,382027
"National Assembly","Punjab","NA-178",209561,154005,363566
"National Assembly","Punjab","NA-179",245625,196906,442531
"National Assembly","Punjab","NA-180",170841,124723,295564
"National Assembly","Punjab","NA-181",314369,251293,565662
"National Assembly","Punjab","NA-183",183079,152247,335326
"National Assembly","Punjab","NA-184",180034,138177,318211
"National Assembly","Punjab","NA-185",181366,143541,324907
"National Assembly","Punjab","NA-186",187362,138537,325899
"National Assembly","Punjab","NA-188",243180,202331,445511
"National Assembly","Punjab","NA-189",72786,53905,126691
"National Assembly","Punjab","NA-190",5242,3123,8365
"National Assembly","Punjab","NA-192",16207,13235,29442
"National Assembly","Punjab","NA-193",173724,135491,309215
"National Assembly","Punjab","NA-194",159839,126482,286321
"National Assembly","Punjab","NA-195",154799,118289,273088
"National Assembly","Punjab","NA-55",62796,47121,109917
"National Assembly","Punjab","NA-56",328326,294463,622789
"National Assembly","Punjab","NA-58",915,864,1779
"National Assembly","Punjab","NA-59",187909,168405,356314
"National Assembly","Punjab","NA-60",187226,166639,353865
"National Assembly","Punjab","NA-61",2089,1959,4048
"National Assembly","Punjab","NA-63",192554,173761,366315
"National Assembly","Punjab","NA-64",281361,269650,551011
"National Assembly","Punjab","NA-65",287048,265475,552523
"National Assembly","Punjab","NA-66",281136,260160,541296
"National Assembly","Punjab","NA-67",213765,190447,404212
"National Assembly","Punjab","NA-68",245357,198650,444007
"National Assembly","Punjab","NA-69",11059,9693,20752
"National Assembly","Punjab","NA-70",253456,206947,460403
"National Assembly","Punjab","NA-71",8880,2883,11763
"National Assembly","Punjab","NA-72",253287,194022,447309
"National Assembly","Punjab","NA-73",265687,222706,488393
"National Assembly","Punjab","NA-74",268538,207328,475866
"National Assembly","Punjab","NA-75",85506,64964,150470
"National Assembly","Punjab","NA-76",261160,206293,467453
"National Assembly","Punjab","NA-77",292907,215088,507995
"National Assembly","Punjab","NA-78",290674,224362,515036
"National Assembly","Punjab","NA-79",303401,238447,541848
"National Assembly","Punjab","NA-80",228084,173336,401420
"National Assembly","Punjab","NA-82",248633,188275,436908
"National Assembly","Punjab","NA-84",637,457,1094
"National Assembly","Punjab","NA-85",247279,207259,454538
"National Assembly","Punjab","NA-86",531329,410422,941751
"National Assembly","Punjab","NA-87",384762,299685,684447
"National Assembly","Punjab","NA-88",268171,219316,487487
"National Assembly","Punjab","NA-89",247523,196091,443614
"National Assembly","Punjab","NA-90",225700,191484,417184
"National Assembly","Punjab","NA-91",250941,202521,453462
"National Assembly","Punjab","NA-92",249071,206260,455331
"National Assembly","Punjab","NA-93",225659,202210,427869
"National Assembly","Punjab","NA-94",206714,182630,389344
"National Assembly","Punjab","NA-95",247741,213131,460872
"National Assembly","Punjab","NA-96",238501,199288,437789
"National Assembly","Punjab","NA-97",488,424,912
"National Assembly","Punjab","NA-98",208105,162226,370331
