constituency_id,ps_id,ps_id_NA
PP70,35,35
PP73,18,18
PP73,18,19
PP73,81,97
PP73,81,98
PP73,117,258
PP73,117,259
PP74,133,29
PP74,133,219
PP77,60,9
PP77,60,94
PP77,60,95
PP8,51,49
PP8,51,51
PP8,52,50
PP8,52,52
PP8,181,179
PP8,181,181
PP83,154,31
PP83,154,32
PP89,86,85
PP89,86,86
PP89,156,155
PP89,156,156
PP9,82,313
PP9,82,314
PP98,168,269
PP98,168,270
PP99,116,328
PP99,116,329
PS10,79,78
PS10,79,79
PS100,3,19
PS100,3,20
PS100,44,70
PS100,44,76
PS104,42,1
PS104,42,140
PS110,91,156
PS110,91,158
PS112,29,138
PS112,29,139
PS112,29,140
PS112,29,141
PS113,27,38
PS113,27,39
PS113,88,99
PS113,88,100
PS114,1,1
PS114,1,212
PS114,30,9
PS114,30,10
PS114,67,67
PS114,67,68
PS117,41,141
PS117,41,143
PS120,74,195
PS120,74,196
PS122,55,139
PS122,55,140
PS123,29,29
PS123,29,30
PS123,88,225
PS123,88,226
PS123,125,261
PS123,125,262
PS129,87,223
PS129,87,233
PS130,66,65
PS130,66,66
PS2,12,316
PS2,12,424
PS2,50,353
PS2,50,354
PS2,91,395
PS2,91,397
PS20,47,189
PS20,47,190
PS21,27,22
PS21,27,27
PS22,23,22
PS22,23,23
PS22,77,76
PS22,77,77
PS22,110,217
PS22,110,218
PS23,7,112
PS23,7,113
PS23,14,71
PS23,14,120
PS23,15,72
PS23,15,121
PS23,16,73
PS23,16,122
PS23,17,74
PS23,17,123
PS23,18,75
PS23,18,124
PS23,37,138
PS23,37,143
PS23,94,199
PS23,94,200
PS24,10,77
PS24,10,83
PS24,148,229
PS24,148,232
PS25,21,20
PS25,21,21
PS26,76,76
PS26,76,77
PS26,86,87
PS26,86,88
PS26,102,13
PS26,102,131
PS26,110,139
PS26,110,140
PS3,22,21
PS3,22,22
PS32,125,11
PS32,125,117
PS33,144,185
PS33,144,186
PS36,50,39
PS36,50,50
PS38,186,166
PS38,186,186
PS39,41,40
PS39,41,41
PS39,80,79
PS39,80,80
PS39,89,86
PS39,89,89
PS4,95,95
PS4,95,96
PS40,136,32
PS40,136,323
PS40,158,343
PS40,158,345
PS40,162,348
PS40,162,349
PS43,47,176
PS43,47,177
PS44,105,104
PS44,105,105
PS44,145,144
PS44,145,145
PS45,99,246
PS45,99,247
PS47,2,74
PS47,2,75
PS49,44,41
PS49,44,44
PS5,5,150
PS5,5,151
PS50,35,35
PS50,35,251
PS50,52,52
PS50,52,268
PS50,64,64
PS50,64,280
PS56,8,7
PS56,8,8
PS6,81,343
PS6,81,344
PS6,95,357
PS6,95,358
PS60,94,94
PS60,94,107
PS60,95,95
PS60,95,108
PS60,135,135
PS60,135,148
PS60,156,169
PS60,156,199
PS61,30,30
PS61,30,201
PS61,64,64
PS61,64,235
PS61,66,237
PS61,66,238
PS61,72,72
PS61,72,243
PS61,96,266
PS61,96,267
PS62,52,21
PS62,52,52
PS62,77,14
PS62,77,77
PS63,11,11
PS63,11,114
PS64,62,218
PS64,62,223
PS64,109,264
PS64,109,265
PS65,67,6
PS65,67,67
PS65,67,68
PS65,82,2
PS65,82,82
PS65,138,137
PS65,138,138
PS67,50,240
PS67,50,241
PS67,75,265
PS67,75,266
PS67,118,118
PS67,118,309
PS67,119,119
PS67,119,310
PS69,63,111
PS69,63,211
PS69,68,215
PS69,68,216
PS69,115,263
PS69,115,283
PS7,146,157
PS7,146,158
PS71,18,139
PS71,18,140
PS71,39,160
PS71,39,162
PS71,41,160
PS71,41,162
PS72,41,297
PS72,41,298
PS74,83,302
PS74,83,303
PS75,76,76
PS75,76,78
PS78,21,156
PS78,21,157
PS78,42,176
PS78,42,177
PS78,59,194
PS78,59,195
PS78,99,187
PS78,99,234
PS78,100,188
PS78,100,235
PS78,101,189
PS78,101,236
PS78,102,190
PS78,102,237
PS78,103,191
PS78,103,238
PS78,104,192
PS78,104,239
PS78,105,193
PS78,105,240
PS78,106,194
PS78,106,241
PS78,107,195
PS78,107,242
PS78,108,196
PS78,108,243
PS78,109,197
PS78,109,244
PS78,110,198
PS78,110,245
PS78,111,199
PS78,111,246
PS78,112,200
PS78,112,247
PS78,113,201
PS78,113,248
PS78,114,202
PS78,114,249
PS78,115,203
PS78,115,250
PS78,116,204
PS78,116,251
PS78,117,205
PS78,117,252
PS78,118,206
PS78,118,253
PS78,119,207
PS78,119,254
PS78,120,208
PS78,120,255
PS78,121,209
PS78,121,256
PS78,122,210
PS78,122,257
PS79,47,308
PS79,47,309
PS9,154,14
PS9,154,147
PS90,64,18
PS90,64,19
PS90,67,21
PS90,67,22
